Year,Region,Continent,Business,Technology,Data Science,Overall Rank,Population,Female_enrollment,Overall Rank Business,Overall Rank Technology,Overall Rank Data Science,Accounting,Communications,Entrepreneurship,Finance,Human Resources,Leadership,Marketing,Sales,"Strategy &
Operations",Cloud Computing,Computer Networking,Computer Programming,Databases,Mobile Development,Operating Systems,Security Engineering,Software Engineering,Theoretical Computer Science,Web Development,Data Analysis,Data Management,Data Visualization,Machine Learning,Mathematics,Probability & Statistics,Statistical Programming
2021,Botswana,Sub saharan,0.92,0.05,0.05,90,7884.75,27,9,103,103,0.97,0.46,0.94,0.38,0.14,0.96,0.65,0.8,0.96,0.23,0.05,0.04,0.1,0.07,0.46,0.41,0.14,0.07,0.03,0.29,0.17,0.71,0.08,0.06,0.19,0.03
2021,Cameroon,Sub saharan,0.94,0.75,0.64,19,15823.77,14,7,28,38,0.73,0.69,0.96,0.53,0.15,0.9,0.97,0.99,0.96,0.4,0.94,0.42,0.71,0.98,0.59,0.74,0.38,0.33,0.73,0.68,0.52,1,0.49,0.29,0.59,0.49
2021,Ethiopia,Sub saharan,0.32,0.81,0.35,58,37827.38,11,74,21,70,0.39,0.62,0.37,0.15,0.05,0.52,0.23,0.74,0.73,0.46,1,0.39,0.67,0.52,0.96,0.99,0.29,0.39,0.36,0.15,0.09,0.63,0.47,0.39,0.52,0.19
2021,Ghana,Sub saharan,0.77,0.29,0.13,73,52656.48,11,26,76,95,0.78,0.56,0.7,0.58,0.47,0.83,0.71,0.87,0.8,0.21,0.89,0.08,0.07,0.33,0.53,0.94,0.26,0.15,0.29,0.56,0.16,0.87,0.23,0.14,0.2,0.13
2021,Kenya,Sub saharan,0.69,0.22,0.19,77,70877.88,19,35,84,88,0.65,0.38,0.88,0.42,0.23,0.81,0.77,0.93,0.79,0.28,0.65,0.11,0.19,0.09,0.35,0.63,0.41,0.24,0.32,0.3,0.26,0.66,0.29,0.21,0.32,0.11
2021,Nigeria,Sub saharan,0.87,0.15,0.08,80,13507.42,1,15,92,100,0.38,0.97,0.98,0.26,0.81,0.95,0.66,0.88,0.72,0.2,0.37,0.04,0.09,0.17,0.24,0.75,0.63,0.04,0.39,0.5,0.27,0.62,0.15,0.05,0.25,0.04
2021,Rwanda,Sub saharan,0.78,0.2,0.4,66,12169.64,25,25,87,64,0.71,0.51,0.73,0.22,0.86,0.93,0.4,0.56,1,0.59,0.18,0.28,0.15,0.81,0.04,0.49,0.19,0.18,0.22,0.38,0.33,0.83,0.43,0.23,0.47,0.53
2021,Sierra Leone,Sub saharan,0.41,0.02,0.04,105,,,65,107,104,0.99,0.49,0.46,0.27,0.7,0.62,0.07,0.3,0.32,0.03,0.11,0.03,0.12,0.03,0.08,0.24,0.15,0.02,0.02,0.7,0.47,0.28,0.04,0.01,0.46,0.02
2021,Somalia,Sub saharan,0.01,0.01,0.01,108,15234.24,8,108,108,108,0.07,0.08,0.01,0.01,0.02,0.08,0.01,0.14,0.3,0.04,0.47,0.01,0.02,0.02,0.01,0.19,0.04,0.01,0.27,0.05,0.01,0.99,0.01,0.02,0.04,0.04
2021,South Africa,Sub saharan,0.66,0.58,0.51,42,133282.24,33,38,46,52,0.72,0.37,0.57,0.54,0.24,0.67,0.75,0.89,0.71,0.54,0.63,0.36,0.48,0.5,0.56,0.71,0.5,0.63,0.77,0.37,0.63,0.94,0.51,0.54,0.39,0.26
2021,Uganda,Sub saharan,0.96,0.55,0.31,37,13931.02,15,5,49,74,0.92,0.79,0.93,0.47,0.89,0.96,0.56,0.78,0.93,0.19,0.95,0.24,0.16,0.35,0.96,0.96,0.24,0.36,0.46,0.32,0.44,0.91,0.21,0.2,0.63,0.25
2021,United States,North America,0.64,0.69,0.73,29,3619021.38,32,40,35,30,0.98,0.07,0.17,0.41,0.6,0.4,0.84,0.91,0.63,0.37,0.7,0.75,0.63,0.62,0.12,0.55,0.92,0.6,0.98,0.55,0.82,0.81,0.77,0.56,0.79,0.58
2021,United States : West,North America,0.56,0.98,0.89,,,,,,,0.96,0.12,0.12,0.44,0.67,0.38,0.83,0.81,0.64,0.45,0.67,0.91,0.83,0.74,0.07,0.52,0.98,0.8,1,0.54,0.95,0.95,0.93,0.72,0.88,0.78
2021,United States : Midwest,North America,0.97,0.46,0.67,,,,,,,1,0.15,0.72,0.57,0.79,0.88,1,1,0.85,0.41,0.77,0.58,0.23,0.43,0.09,0.51,0.76,0.48,0.21,0.65,0.77,0.73,0.71,0.47,0.83,0.51
2021,United States : Northeast,North America,0.27,0.6,0.71,,,,,,,0.87,0.02,0.04,0.4,0.34,0.16,0.63,0.62,0.4,0.35,0.66,0.74,0.94,0.63,0.13,0.58,0.87,0.69,0.38,0.47,0.88,0.7,0.74,0.68,0.76,0.57
